,Topic,Count,Name,Representation,Representative_Docs
10,9,21,9_madar_magnetic_alert_anomaly,"['madar', 'magnetic', 'alert', 'anomaly', 'node', 'alarm', 'text', 'gmta', '2198', 'monitariespre']","['MADAR alert turned', 'MADAR Magnetic Alert, Magnetic Alert turned', 'MADAR ALERT']"
11,10,20,10_old_year_son_daughter,"['old', 'year', 'son', 'daughter', 'child', 'mom', 'channeling', 'said', 'sons', 'yr']","['year old son', 'year old son', 'year old son, year old daughter']"
12,11,19,11_parking_lot_walmart_nh,"['parking', 'lot', 'walmart', 'nh', 'complex', 'waiting', 'la', 'jobs', 'nashua', 'crow']","['school parking lot', 'parking lot finishing, Walmart parking lot', 'parking lot near, north parking lot']"
13,12,18,12_description_detailed_help_tried,"['description', 'detailed', 'help', 'tried', 'nt', 'helpful', 'promise', 'pls', 'wanna', 'ur']","['description box', 'detailed description', 'Read detailed description, detailed description, description \n\n Checked']"
14,13,17,13_removed_number_link_phone,"['removed', 'number', 'link', 'phone', 'address', 'facebook', 'pinned', 'post', 'gotoremoved', '07092023']","['bright light went, fast light, phone number removed', 'removed phone number', 'removed phone number']"
15,14,16,14_chem_trails_trail_tgat,"['chem', 'trails', 'trail', 'tgat', 'migrated', 'levels', 'running', 'extreme', 'governments', 'ruining']","['saw Chem trails', 'chem trails, leaving chem trails', 'chem trails']"
16,15,15,15_google_maps_earth_downed,"['google', 'maps', 'earth', 'downed', 'cessna', 'youtube', 'httpswwwgooglecommaps2054176110480880953a187y28494h9692tdata3m61e13m41sc21owvkipsaijgbxfxnfpa2e07i163848i8192', 'httpswwwgooglecommaps20541684710480869883a15y27971h9763tdata3m61e13m41snqni0ps78zxozrol1b6lg2e07i163848i8192', 'httpswwwgooglecommaps20541047910480772933a15y28251h9259tdata3m61e13m41s2najmk0ascsugczaiommba2e07i163848i8192', 'httpsgooglmaps227mjvbo5gjtbrbc8']","['cruising google maps', 'Google maps, maps \n\n Found', 'Strange google maps, google maps photo']"
17,16,14,16_steven_greer_dr_ce5,"['steven', 'greer', 'dr', 'ce5', 'greers', 'contact', 'conducted', 'protocols', '5close', 'ce']","['CE5 Group session, suspect camouflage malfunctioned, human race gets, race gets diminished, Dr. Steven, Dr. Steven Greer, U.S. \n\n Dr., called Close Encounters, Eastern Washington /Spokane, group Eastern Washington', 'Dr Steven Greer, night sky caught', 'Greer ce5 contact, Steven Greer ce5, Dr Steven Greer, Continued watching ce5, watching ce5 film, mins later glitter, red bright red, bright red orb, red orb turned']"
18,17,13,17_weird_stuff_things_shit,"['weird', 'stuff', 'things', 'shit', 'responding', 'having', 'patern', 'confused', 'holy', 'scary']","['things got weird', 'real weird stuff', 'weird things like']"
19,18,13,18_corner_left_upper_hand,"['corner', 'left', 'upper', 'hand', 'right', 'selves', 'thigh', 'spire', 'farthest', 'radically']","['detailed description, upper left hand, left hand corner', 'left hand corner', 'upper left corner']"
20,19,13,19_air_thin_mid_mids,"['air', 'thin', 'mid', 'mids', 'pyra', 'lools', 'norms', 'pumping', 'throw', 'staff']","['thin air', 'thin air', 'thin air']"
21,20,12,20_mufon_investigator_georgia_seth,"['mufon', 'investigator', 'georgia', 'seth', 'chapter', 'bair', 'gradually', 'arched', 'iv', 'independently']","['Georgia MUFON Agent, smallest boomerang, months sighted nightly, Contacted Georgia MUFON, contact Georgia MUFON', 'usual air traffic, MUFON Field Investigator', 'MUFON Investigator Seth, Investigator Seth Feinstein, requesting MUFON Investigator']"
22,21,12,21_send_ghoulishmedia_morgue_pompeo,"['send', 'ghoulishmedia', 'morgue', 'pompeo', 'englisch', 'lionsgate', 'mike', 'ect', 'shit', 'sent']","['send \n\n Took', 'na \n\n Send, Send somebody', '@ruemorgue @lionsgate @ghoulishmedia, @lionsgate @ghoulishmedia, @ghoulishmedia \n\n Look, morgue ect talk, rue morgue ect']"
23,22,12,22_county_maine_kinney_snohomish,"['county', 'maine', 'kinney', 'snohomish', 'officers', 'police', 'missouri', 'ranch', 'remote', 'washington']","['Price County, County \n\n Saw', 'Washington County Maine, County Maine', 'Washington county Maine, county Maine']"
24,23,12,23_abducted_abduction_abductions_syria,"['abducted', 'abduction', 'abductions', 'syria', 'occurring', 'called', 'country', 'box', 'welllll', 'bruises']","['abducted multiple times', 'continually getting abducted, getting abducted', 'abducted \n\n abducted']"
25,24,12,24_radar_flight_app_checked,"['radar', 'flight', 'app', 'checked', 'map', 'iphone', '13pro', 'arrivals', 'titled', 'radars']","['flight radar immediately, checked flight radar', 'flight radar app', 'app Flight Radar']"
26,25,11,25_united_event_vs_haveing,"['united', 'event', 'vs', 'haveing', 'bored', 'fun', 'manchester', 'events', 'later', 'inaugural']","['contact event actually, event actually starts, like missing time', 'u haveing fun, haveing fun United', 'vs Manchester United, ham United vs, United vs Manchester']"
27,26,11,26_zoomed_zooms_fan_away,"['zoomed', 'zooms', 'fan', 'away', 'zooming', 'zoom', 'rainbow', 'turning', 'x1', 'magnification']","['light zoomed FAST', 'zoomed \n\n Initially, camera zoomed, cell camera zoomed, fan like device, turning fan like, saucer turning fan, moved slightly north, object moved slightly', 'light zoomed away']"
28,27,11,27_radio_radios_contact_ham,"['radio', 'radios', 'contact', 'ham', 'nuts', 'went', 'beeps', 'carla', 'recommended', 'inaudible']","['weather sky lit, eerie silent radio, silent radio got', 'Major Radio Contact, Arcturus star moved, radios WENT nuts', 'ham radio went, radio went wild']"
29,28,11,28_standing_outside_stood_kid,"['standing', 'outside', 'stood', 'kid', 'starring', 'drill', 'stands', 'answer', 'coordinated', 'away']","['Standing outside- saw, direction \n\n Standing, Standing outside-', 'standing outside looking', 'standing outside looking']"
30,29,11,29_driving_home_late_th,"['driving', 'home', 'late', 'th', 'hello', 'whiledriving', '430am', 'finished', 'locations', 'different']","['Driving home, object \n\n Driving', 'Driving home late, Driving home', 'Driving home late, home late evening, Driving home']"
31,30,11,30_file_single_line_evenly,"['file', 'single', 'line', 'evenly', 'number', 'str', 'filed', 'husbands', 'unknown', 'spaced']","['single file line', 'single file line', 'single file line']"
